gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-22_ESP-RMA,2026-08-22 00:00:00,RMA,ESP,False,True,W 2-1,Total,13,17.4%,26.1%,2.73,68.9%,7,91,78,32,28,96,49,48,97,0,71,1,24,42,4,235,54,29.5%,163,0.132,7,16,22,1,25.0%,31.7%,29.5%,34,507,16,5,103,20,3,17,34,16,0,0,48,22,11,11,-,766,552,92.0%,83.3%,17,1,1.25,2.77,15,21,8,38.1%,61.5%,63.1%,64.7%,31,2
2026-08-26_RMA-RSO,2026-08-26 00:00:00,RMA,RSO,True,False,W 4-1,Total,16,14.8%,14.8%,3.55,62.5%,5,73,58,30,17,162,49,36,85,0,92,3,31,26,8,298,35,28.2%,164,0.159,7,16,20,5,28.4%,30.6%,28.2%,21,531,15,10,72,9,5,9,21,16,0,0,48,44,11,33,-,752,582,91.4%,90.1%,19,4,1.88,3.18,14,20,11,55.0%,52.4%,56.9%,66.7%,43,4
