Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),75x10qjvovwfd72z7mr2epzis,2026-08-28 19:30:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,true,false,false,ALA,ALA,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,W 1-0,Enrique Sánchez Flores,56,89.00,12.0%,20.0%,13,23,3,14,34,18.9%,31.0%,62.9%,29,12,37,6,37,4.00,18,0,59.6%,8,5,0,180,282,111,172,41,393,10,1,0,0,48.5%,95,0.73,43.8%,32,17,1,1,147,36.0,21.00,-,27.3%,27.3%,36.4%,47.0%,14.4,48.5%,9,13,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),759wkks5e6lybl2205pedxgd0,2026-08-20 19:00:00,4dtdjgnpdq9uw4sdutti0vaar,false,true,false,false,true,ALA,ALA,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184,D 1-1,Enrique Sánchez Flores,10,156.00,32.3%,35.5%,21,17,4,51,66,59.5%,44.1%,45.1%,29,18,60,9,60,11.00,53,1,50.5%,7,4,0,56,104,138,100,85,241,10,1,0,0,35.3%,120,2.00,62.0%,24,20,3,3,273,33.4,28.00,-,25.8%,22.6%,9.7%,15.2%,25.5,35.3%,15,27,4
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),6ypvv07mjqz0hg3voh3u7gges,2026-08-15 17:30:00,4dtdjgnpdq9uw4sdutti0vaar,true,false,true,false,false,ALA,ALA,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 3-0,Enrique Sánchez Flores,9,129.00,38.7%,45.2%,11,12,5,34,62,52.2%,51.5%,53.6%,18,10,41,9,41,10.00,34,1,64.3%,4,3,0,72,139,107,116,58,246,5,3,0,0,39.0%,138,1.93,50.9%,31,25,1,6,218,28.7,18.00,-,9.5%,14.3%,28.6%,56.9%,26.5,39.0%,18,21,3
