Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),78h1fr7sjsehp4pmrilhe8sus,2026-08-29 17:00:00,63f5h8t5e9qm1fqmvfkb23ghh,true,false,true,false,false,RSO,RSO,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,W 2-1,Pellegrino Matarazzo,14,136.00,28.1%,46.9%,31,16,4,60,63,58.7%,46.1%,51.6%,0,0,0,0,0,12.00,45,1,0.0%,0,0,0,0,0,0,0,0,0,9,2,0,0,38.5%,163,1.82,56.7%,35,19,4,2,290,32.6,20.00,-,22.7%,9.1%,18.2%,69.1%,23.5,38.5%,17,19,5
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),71l2f5qull2yzqxy409ojb2tw,2026-08-26 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,true,false,RSO,RSO,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 1-4,Pellegrino Matarazzo,48,154.00,32.0%,36.0%,7,17,2,49,74,43.7%,55.8%,57.6%,52,19,86,13,86,8.00,55,0,57.0%,5,6,0,135,208,105,113,65,313,7,1,0,0,28.0%,155,0.65,52.1%,18,18,2,1,436,32.6,15.00,-,7.7%,3.8%,11.5%,16.7%,33.7,28.0%,10,13,1
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),73csyv3hnitphnyv0z6vgt444,2026-08-21 19:00:00,63f5h8t5e9qm1fqmvfkb23ghh,false,true,false,true,false,RSO,RSO,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 0-1,Pellegrino Matarazzo,29,109.00,21.2%,27.3%,14,29,2,29,69,43.9%,58.1%,61.5%,54,15,75,10,75,7.00,31,0,53.4%,7,7,0,86,153,134,123,77,286,9,0,0,0,30.4%,157,1.36,43.8%,25,16,1,2,358,29.8,25.00,-,8.7%,17.4%,17.4%,19.8%,25.6,30.4%,9,14,2
