gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-19_ATM-MAL,2026-08-19 00:00:00,ATM,MAL,True,False,W 2-0,Total,10,28.6%,45.7%,3.91,72.9%,4,50,86,38,21,128,45,42,87,0,74,1,52,98,11,344,39,28.3%,147,0.062,7,11,23,2,24.0%,29.0%,28.3%,24,454,9,9,105,15,3,18,24,16,0,0,48,22,0,22,-,705,520,87.5%,75.8%,10,1,0.92,0.93,11,15,6,40.0%,36.7%,48.6%,66.7%,45,2
2026-08-23_ATM-VIL,2026-08-23 00:00:00,ATM,VIL,True,False,D 2-2,Total,9,34.4%,40.6%,4.15,72.1%,2,78,70,36,15,141,38,33,71,0,93,3,40,24,23,374,47,29.0%,151,0.041,5,8,13,0,26.0%,29.4%,29.0%,18,458,14,10,91,20,0,10,18,0,16,0,16,21,21,0,-,708,520,88.3%,83.7%,16,2,1.06,0.78,9,19,4,21.1%,45.9%,56.0%,40.0%,48,2
2026-08-29_SEV-ATM,2026-08-29 00:00:00,ATM,SEV,False,True,W 3-1,Total,6,17.4%,21.7%,3.27,-,2,51,37,76,29,57,0,0,0,1,47,0,0,18,0,0,45,34.2%,181,0.077,6,30,13,1,22.6%,25.1%,34.2%,19,453,5,12,120,5,2,35,19,16,0,0,48,33,11,22,-,727,530,85.7%,93.0%,8,3,0.63,0.93,8,12,5,41.7%,29.6%,51.7%,48.6%,36,3
