gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-15_ALA-GET,2026-08-15 00:00:00,GET,ALA,False,True,L 0-3,Total,5,16.1%,22.6%,2.2,50.0%,2,55,63,62,22,64,23,35,58,0,38,3,34,9,5,269,38,35.7%,121,0.04,12,27,16,0,25.1%,22.4%,35.7%,19,268,3,5,102,14,0,28,19,0,0,16,0,0,30,-30,-,524,339,79.1%,76.6%,3,0,0.42,0.24,4,6,2,33.3%,33.3%,50.0%,46.4%,23,0
2026-08-23_GET-RAC,2026-08-23 00:00:00,GET,RAC,True,False,W 1-0,Total,5,26.9%,42.3%,4.0,46.2%,0,44,83,75,19,45,20,43,63,1,47,0,36,43,11,364,42,41.9%,139,0.104,10,23,12,0,23.2%,21.7%,41.9%,28,243,7,11,104,31,1,18,28,15,0,0,45,11,0,11,-,555,332,73.5%,77.8%,7,0,0.33,1.24,10,12,1,8.3%,54.2%,48.1%,44.4%,46,1
