gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-21_BET-RSO,2026-08-21 00:00:00,BET,RSO,True,False,W 1-0,Total,13,21.2%,27.3%,5.09,55.6%,1,73,67,50,23,94,25,32,57,0,67,2,58,53,6,342,37,32.6%,157,0.069,6,22,20,1,27.4%,23.5%,32.6%,22,415,16,17,95,13,1,25,22,14,0,0,42,11,0,11,-,680,481,86.3%,85.1%,17,1,1.19,1.25,14,18,7,38.9%,42.9%,55.8%,64.0%,57,1
2026-08-25_VAL-BET,2026-08-25 00:00:00,BET,VAL,False,True,W 1-0,Total,5,28.0%,32.0%,4.73,60.9%,1,74,65,55,24,104,36,52,88,1,67,2,51,47,16,331,38,26.9%,145,0.047,8,32,11,2,25.9%,31.1%,26.9%,15,473,12,10,86,13,2,18,15,16,0,0,48,11,0,11,-,766,540,87.6%,85.6%,13,1,0.47,0.71,10,15,3,20.0%,32.1%,53.5%,44.4%,53,1
2026-08-29_LEV-BET,2026-08-29 00:00:00,BET,LEV,False,True,L 2-5,Total,21,42.9%,46.4%,3.55,-,3,75,79,58,12,136,0,0,0,0,58,0,0,48,0,0,38,29.5%,169,0.096,9,28,21,2,28.3%,26.9%,29.5%,19,494,14,7,94,35,2,33,19,0,0,16,0,22,55,-33,-,782,573,86.4%,87.5%,14,1,1.51,1.92,18,20,6,30.0%,41.7%,63.8%,66.7%,41,2
