Team,Section,,Date   arrow_drop_down,opponent,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
Espanyol,Total,,-,43,119.00,25.6%,34.9%,35,34,4,76,112,41.8%,48.4%,60.6%,92,29,137,13,137,6.00,94,0,56.2%,11,11,0,168,306,224,262,100,530,13,4,0,0,30.8%,241,2.53,46.8%,60,44,6,4,557,33.1,14.00,-,24.4%,14.6%,7.3%,51.4%,23.0,30.8%,24,23,4
Espanyol,Seasons,,José Manuel González Álvarez,43,119.00,25.6%,34.9%,35,34,4,76,112,41.8%,48.4%,60.6%,92,29,137,13,137,6.00,94,0,56.2%,11,11,0,168,306,224,262,100,530,13,4,0,0,30.8%,241,2.53,46.8%,60,44,6,4,557,33.1,14.00,-,24.4%,14.6%,7.3%,51.4%,23.0,30.8%,24,23,4
Espanyol,Results,,José Manuel González Álvarez,38,116.00,29.2%,45.8%,14,20,0,33,51,35.5%,40.0%,58.3%,33,11,53,5,53,3.00,49,0,60.7%,4,5,0,122,196,124,146,52,320,10,1,0,0,34.7%,113,1.05,40.0%,30,19,3,2,257,34.4,14.00,-,27.8%,5.6%,5.6%,19.0%,19.3,34.7%,8,12,2
Espanyol,Results,,José Manuel González Álvarez,5,122.00,21.1%,21.1%,21,14,4,43,61,50.0%,55.8%,62.4%,59,18,84,8,84,9.00,45,0,46.9%,7,6,0,46,110,100,116,48,210,3,3,0,0,28.0%,128,1.47,55.6%,30,25,3,2,300,31.9,14.00,-,21.7%,21.7%,8.7%,85.0%,26.5,28.0%,16,11,2
