Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),77u4mb46sh7ns37earpemj6l0,2026-08-28 17:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,true,false,ELC,ELC,bzkwzatvwahmbzok1ymm5vqa1,RAC,RAC,189,L 2-3,Martín Anselmi,21,229.00,25.6%,38.5%,19,14,7,60,96,66.3%,53.8%,46.7%,26,18,61,8,61,8.00,57,0,53.6%,3,12,0,67,114,172,113,106,286,4,2,0,0,28.7%,160,1.03,58.3%,23,23,5,5,413,30.8,24.00,-,5.7%,5.7%,20.0%,6.0%,30.7,28.7%,18,28,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),73ob0ein8likagvlqcyqf4zys,2026-08-23 19:30:00,4yg9ttzw0m51048doksv8uq5r,true,false,false,true,false,ELC,ELC,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 0-5,Martín Anselmi,22,145.00,27.3%,27.3%,16,20,5,38,56,46.0%,46.2%,56.9%,59,14,79,21,79,7.00,33,0,43.9%,1,7,0,47,129,171,159,94,300,4,0,0,0,31.2%,136,0.70,54.0%,16,17,1,2,276,33.4,21.00,-,28.6%,7.1%,25.0%,12.9%,24.5,31.2%,7,13,3
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),7000rk9jiemwpjw2i9tnpim8k,2026-08-17 19:00:00,4yg9ttzw0m51048doksv8uq5r,false,true,false,false,true,ELC,ELC,1r541mega6d838hi0p44sv0h2,DEP,DEP,180,D 1-1,Martín Anselmi,11,149.00,54.2%,58.3%,15,23,4,36,65,58.0%,62.2%,54.4%,42,9,62,9,62,9.00,52,0,44.9%,8,3,2,53,118,128,127,66,246,4,1,0,0,25.4%,163,1.23,70.2%,23,15,1,0,474,33.7,15.00,-,0.0%,5.6%,16.7%,24.4%,32.4,25.4%,11,15,2
