gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-16_RAC-VIL,2026-08-16 00:00:00,RAC,VIL,True,False,D 2-2,Total,14,25.7%,28.6%,4.09,63.6%,0,48,83,50,14,107,44,43,87,0,56,6,39,28,10,405,44,40.6%,153,0.11,10,31,3,1,22.8%,24.9%,40.6%,27,309,9,13,114,12,2,19,27,0,16,0,16,22,22,0,-,605,377,82.2%,78.5%,9,0,0.82,1.87,9,17,3,17.6%,22.2%,48.2%,57.9%,45,2
2026-08-23_GET-RAC,2026-08-23 00:00:00,RAC,GET,False,True,L 0-1,Total,4,40.9%,45.5%,3.18,52.2%,0,73,81,55,21,74,32,41,73,0,52,3,58,24,5,320,44,36.7%,172,0.218,8,33,8,1,22.4%,25.4%,36.7%,17,380,3,5,104,14,2,18,17,0,0,16,0,0,11,-11,-,662,469,81.0%,77.0%,3,0,0.45,1.31,6,6,3,50.0%,35.3%,51.9%,55.6%,36,0
2026-08-28_RAC-ELC,2026-08-28 00:00:00,RAC,ELC,True,False,W 3-2,Total,9,30.0%,36.7%,3.45,58.4%,2,25,58,69,18,68,25,41,66,0,47,0,0,27,7,380,39,43.2%,164,0.132,9,40,7,2,18.4%,22.6%,43.2%,13,305,10,6,105,7,4,27,13,15,0,0,45,33,22,11,-,600,380,80.3%,80.9%,11,1,1.22,1.72,10,13,6,46.2%,28.0%,48.6%,44.4%,39,3
