Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),72e6g9h1pn6n02wyh6hi1e49g,2026-08-25 19:00:00,ba5e91hjacvma2sjvixn00pjo,true,false,false,true,false,VAL,VAL,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 0-1,Carlos Corberán,18,140.00,12.5%,21.9%,22,19,5,43,62,39.4%,44.7%,55.0%,42,15,73,12,73,9.00,36,0,51.2%,7,3,0,85,158,158,142,89,316,7,0,0,0,38.8%,144,1.12,54.5%,19,14,2,2,299,32.6,20.00,-,13.0%,13.0%,34.8%,27.4%,25.3,38.8%,16,25,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),75lf3n4wfifs1thc01rv7lvkk,2026-08-22 17:30:00,ba5e91hjacvma2sjvixn00pjo,true,false,false,false,true,VAL,VAL,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,D 0-0,Carlos Corberán,15,129.00,33.3%,43.3%,17,20,3,43,55,38.8%,52.4%,55.7%,25,13,49,5,49,4.00,63,0,53.8%,5,4,0,112,190,129,126,81,319,2,0,0,0,27.0%,132,0.70,59.5%,15,15,2,7,322,35.9,6.00,-,14.3%,14.3%,19.0%,29.5%,33.0,27.0%,8,15,1
