Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),78h1fr7sjsehp4pmrilhe8sus,2026-08-29 17:00:00,c8llrezkm3b3op4afrou6b487,false,true,false,true,false,ESP,ESP,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,L 1-2,José Manuel González Álvarez,29,99.00,39.3%,53.6%,14,24,3,42,47,41.3%,53.9%,65.8%,0,0,0,0,0,4.00,28,0,0.0%,0,0,0,0,0,0,0,0,0,6,1,0,0,36.5%,147,0.75,55.7%,34,13,0,2,280,36.2,22.00,-,10.5%,5.3%,31.6%,10.3%,20.9,36.5%,11,11,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),73zvl5ha7i4e8lo6sphnf613o,2026-08-22 19:30:00,c8llrezkm3b3op4afrou6b487,true,false,false,true,false,ESP,ESP,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 1-2,José Manuel González Álvarez,38,116.00,29.2%,45.8%,14,20,0,33,51,35.5%,40.0%,58.3%,33,11,53,5,53,3.00,49,0,60.7%,4,5,0,122,196,124,146,52,320,10,1,0,0,34.7%,113,1.05,40.0%,30,19,3,2,257,34.4,14.00,-,27.8%,5.6%,5.6%,19.0%,19.3,34.7%,8,12,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),70ecxis8a4v87q3igbbhvxn2s,2026-08-16 17:00:00,c8llrezkm3b3op4afrou6b487,true,false,true,false,false,ESP,ESP,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,W 3-0,José Manuel González Álvarez,5,122.00,21.1%,21.1%,21,14,4,43,61,50.0%,55.8%,62.4%,59,18,84,8,84,9.00,45,0,46.9%,7,6,0,46,110,100,116,48,210,3,3,0,0,28.0%,128,1.47,55.6%,30,25,3,2,300,31.9,14.00,-,21.7%,21.7%,8.7%,85.0%,26.5,28.0%,16,11,2
