Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),7772yfcbq8gnhrn7g0wnyx89g,2026-08-29 15:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,false,true,false,BET,BET,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,L 2-5,Manuel Pellegrini,28,235.00,42.9%,46.4%,19,19,3,68,75,65.7%,54.2%,48.2%,0,0,0,0,0,14.00,58,1,0.0%,0,0,0,0,0,0,0,0,0,7,2,0,0,29.5%,169,1.92,71.4%,40,21,4,4,428,36.4,19.00,-,34.3%,0.0%,8.6%,17.2%,27.3,29.5%,20,35,2
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),72e6g9h1pn6n02wyh6hi1e49g,2026-08-25 19:00:00,ah8dala7suqqkj04n2l8xz4zd,false,true,true,false,false,BET,BET,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191,W 1-0,Manuel Pellegrini,26,166.00,28.0%,32.0%,29,21,3,48,74,60.6%,55.3%,54.4%,52,17,88,19,88,12.00,67,0,51.4%,8,7,2,72,141,139,153,55,280,9,1,0,0,26.9%,145,0.71,61.8%,30,27,2,1,400,35.5,15.00,-,17.2%,10.3%,17.2%,36.1%,26.2,26.9%,15,13,2
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),73csyv3hnitphnyv0z6vgt444,2026-08-21 19:00:00,ah8dala7suqqkj04n2l8xz4zd,true,false,true,false,false,BET,BET,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,W 1-0,Manuel Pellegrini,16,161.00,21.2%,27.3%,30,23,4,59,73,56.1%,41.9%,50.3%,32,14,57,12,57,16.00,67,0,47.7%,10,4,0,52,135,168,177,74,303,5,0,1,0,32.6%,157,1.25,59.4%,33,26,2,1,350,35.1,22.00,-,13.8%,24.1%,17.2%,53.6%,24.9,32.6%,18,13,1
