gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-17_DEP-ELC,2026-08-17 00:00:00,ELC,DEP,False,True,D 1-1,Total,9,54.2%,58.3%,3.64,50.8%,4,65,63,62,24,82,20,42,62,0,52,7,36,47,9,291,38,25.4%,163,0.115,11,22,12,2,25.9%,30.7%,25.4%,15,567,9,6,86,15,2,17,15,0,16,0,16,11,11,0,-,823,641,88.5%,84.1%,10,1,0.75,1.26,8,11,6,54.5%,60.0%,53.5%,47.1%,42,1
2026-08-23_ELC-BAR,2026-08-23 00:00:00,ELC,BAR,True,False,L 0-5,Total,5,27.3%,27.3%,3.55,56.1%,4,56,81,69,17,81,20,59,79,0,33,2,45,50,3,338,27,31.2%,136,0.101,12,5,25,3,22.9%,24.8%,31.2%,21,346,7,12,91,13,3,21,21,0,0,16,0,0,55,-55,-,615,436,80.0%,67.9%,7,0,0.65,0.7,7,7,2,28.6%,47.1%,39.6%,42.9%,41,0
2026-08-28_RAC-ELC,2026-08-28 00:00:00,ELC,RAC,False,True,L 2-3,Total,12,25.6%,38.5%,3.36,57.1%,8,96,89,51,18,127,35,26,61,0,57,0,0,42,9,342,39,28.7%,160,0.057,5,13,27,1,25.1%,29.4%,28.7%,24,483,8,7,105,28,1,27,24,0,0,16,0,22,33,-11,-,771,557,86.7%,78.7%,10,2,1.41,1.03,12,18,7,38.9%,50.0%,51.4%,55.6%,40,2
