gameId,Date,Team,opponent,Home,Away,Result,Section,ToquesCentroÁrea,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,ProgCarry,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,LBPOwnHalf,LBP,Juego dentro del área,juego interior,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,HighPrsrApp,GrndDlWn,FwdPass%,FwdPass,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,%PassFwd,TakeOn,PsRec,KeyPass,Int,Duels,Crosses,BgChnc,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ExpG,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
2026-08-16_ESP-LEV,2026-08-16 00:00:00,LEV,ESP,False,True,L 0-3,Total,3,22.2%,40.7%,3.09,53.2%,3,85,73,45,10,41,19,30,49,1,36,7,17,41,16,302,41,29.3%,115,0.047,13,18,17,0,26.3%,26.8%,29.3%,12,331,3,7,90,14,0,19,12,0,0,16,0,0,33,-33,-,579,392,84.7%,73.2%,3,0,0.24,0.19,3,4,0,0.0%,33.3%,55.6%,47.4%,34,0
2026-08-24_OSA-LEV,2026-08-24 00:00:00,LEV,OSA,False,True,D 0-0,Total,8,27.3%,31.8%,2.09,35.8%,6,60,79,48,17,67,21,33,54,0,32,11,37,18,1,291,23,29.3%,120,0.117,5,27,26,2,26.1%,29.5%,29.3%,6,337,7,8,85,23,2,37,6,0,15,0,15,0,0,0,-,605,410,82.4%,73.1%,7,0,1.06,1.29,7,11,1,9.1%,61.9%,42.4%,35.1%,23,0
2026-08-29_LEV-BET,2026-08-29 00:00:00,LEV,BET,True,False,W 5-2,Total,16,42.9%,50.0%,2.36,-,0,43,67,46,18,70,0,0,0,1,42,0,0,48,0,0,23,34.1%,129,0.165,9,34,13,4,24.6%,23.0%,34.1%,15,314,9,12,94,17,5,33,15,16,0,0,48,55,22,33,-,588,378,83.9%,72.9%,12,3,1.4,3.13,17,19,10,52.6%,32.0%,36.2%,33.3%,29,5
