Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
1,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),75x10qjvovwfd72z7mr2epzis,2026-08-28 19:30:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,true,false,VIL,VIL,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,L 0-1,Iñigo Pérez,15,302.00,41.0%,53.8%,21,10,3,85,90,81.1%,69.0%,40.1%,35,25,76,11,76,16.00,106,0,51.7%,8,5,0,46,96,118,80,87,213,8,0,0,0,31.6%,205,1.74,56.1%,34,24,4,3,600,32.3,28.00,-,8.3%,10.4%,10.4%,23.7%,33.0,31.6%,19,22,1
2,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),731909x80ix52l5w07taqsqac,2026-08-23 15:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,false,true,VIL,VIL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,D 2-2,Iñigo Pérez,35,143.00,21.4%,39.3%,18,24,3,48,77,46.2%,49.7%,54.8%,41,11,65,8,65,8.00,58,1,48.2%,4,3,0,106,179,145,140,78,324,9,2,0,0,33.9%,169,3.58,46.8%,17,17,1,0,433,35.1,27.00,-,16.0%,16.0%,20.0%,31.7%,30.9,33.9%,13,6,6
3,34pl8szyvrbwcmfkuocjm3r6t,Primera División,830epggffy1nfkfyrtpqdwhlg,2026/2027,Primera División 2026/2027 (Spain),Primera División (Spain),716vp99sj88laxm7ujwt3ua6s,2026-08-16 15:00:00,74mcjsm72vr3l9pw2i4qfjchj,false,true,false,false,true,VIL,VIL,bzkwzatvwahmbzok1ymm5vqa1,RAC,RAC,189,D 2-2,Iñigo Pérez,36,248.00,32.6%,44.2%,19,22,3,95,79,61.5%,54.6%,44.4%,53,41,127,21,127,7.00,93,1,56.5%,2,9,0,104,158,138,101,89,294,7,0,1,1,28.9%,155,0.67,56.5%,36,24,0,0,411,30.5,34.00,-,8.6%,8.6%,11.4%,17.0%,27.7,28.9%,12,17,1
