Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
23,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1kpzn7hqfuvbxrrrsh2c6mdxw,2025-12-13 15:15:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954,W 3-1,Jagoba Arrasate,18,135.00,29.0%,32.3%,15,20,2,37,100,41.0%,46.0%,48.0%,23,16,47,4,47,11.00,40,0,62.5%,12,2,0,100,179,106,130,55,285,6,3,0,0,29.9%,117,2.44,42.2%,21,33,4,1,300,36.7,21.00,-,24.1%,13.8%,10.3%,45.1%,29.0,29.9%,15,13,7
24,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1i2f9ycdq0mof2nmr7jievlsk,2025-12-05 20:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,false,true,MLL,MLL,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187,D 0-0,Jagoba Arrasate,28,104.00,20.0%,20.0%,19,9,0,30,39,42.7%,36.1%,55.4%,19,8,35,5,35,13.00,28,0,51.7%,6,6,0,77,130,136,110,79,266,8,0,0,0,42.3%,120,0.68,58.8%,19,13,5,2,219,36.9,13.00,-,40.9%,9.1%,9.1%,16.0%,27.2,42.3%,13,17,0
25,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1cg5aiu7phyw89gyr0m9hme50,2025-11-29 13:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450,D 2-2,Jagoba Arrasate,21,118.00,25.9%,40.7%,16,26,3,42,54,46.2%,57.5%,61.0%,29,14,47,5,47,5.00,34,0,54.1%,9,9,0,85,142,126,111,72,268,10,1,0,1,37.0%,155,1.49,56.9%,33,10,3,1,294,36.1,13.00,-,26.1%,8.7%,13.0%,57.4%,21.0,37.0%,7,16,2
26,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1bbwtdnimi7tbl6aatezlnwno,2025-11-22 20:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449,L 1-2,Jagoba Arrasate,33,125.00,31.0%,44.8%,12,18,5,32,38,38.2%,46.2%,56.5%,23,10,30,0,30,6.00,44,1,58.9%,10,4,1,116,190,113,121,66,303,12,0,1,0,35.5%,132,0.94,57.6%,21,13,3,2,251,36.3,18.00,-,16.7%,22.2%,16.7%,15.9%,20.7,35.5%,9,9,3
27,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),17kbnro1phdt3xdaadluy52j8,2025-11-09 17:30:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450,W 1-0,Jagoba Arrasate,28,115.00,47.5%,57.5%,16,20,3,16,39,29.8%,49.7%,62.6%,21,6,29,2,29,2.00,15,0,47.2%,7,5,0,103,174,111,112,70,285,6,1,0,0,54.8%,144,1.11,58.7%,46,12,1,1,156,35.5,30.00,-,23.1%,23.1%,15.4%,68.8%,15.9,54.8%,6,8,3
28,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),11hplskmrac4dwfmqv72f9nh0,2025-11-02 19:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185,L 0-3,Jagoba Arrasate,16,196.00,29.4%,44.1%,20,20,6,60,65,51.8%,44.6%,50.5%,31,20,64,5,64,11.00,70,0,54.8%,10,6,0,91,166,162,138,99,328,3,0,0,0,30.0%,145,0.62,61.4%,27,19,5,7,383,32.8,30.00,-,18.2%,9.1%,15.2%,6.0%,27.3,30.0%,14,28,1
29,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),zzqopgn9iz38xxwmgsl6ccus,2025-10-26 13:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855,D 1-1,Jagoba Arrasate,29,194.00,36.6%,46.3%,30,30,4,63,88,66.1%,59.5%,51.7%,31,20,63,5,63,15.00,77,0,55.1%,9,13,0,75,111,132,99,69,243,4,0,0,1,32.8%,181,1.58,55.6%,26,35,5,3,433,35.7,23.00,-,22.5%,12.5%,10.0%,28.1%,23.3,32.8%,20,31,5
30,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),wlegmdabr8ruispvl8gtzv9w,2025-10-18 12:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,true,false,false,MLL,MLL,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179,W 3-1,Jagoba Arrasate,28,110.00,32.4%,44.1%,13,14,6,38,41,43.5%,41.6%,56.4%,25,17,47,7,47,3.00,33,1,48.6%,6,7,1,67,123,127,114,69,250,6,2,1,0,43.1%,129,1.85,55.7%,34,18,2,3,184,33.7,17.00,-,25.0%,10.0%,35.0%,27.6%,23.0,43.1%,7,12,3
31,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),pt81qdbd7pkbnnkpq246rtw4,2025-10-04 16:30:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174,L 1-2,Jagoba Arrasate,28,80.00,28.6%,33.3%,10,26,1,25,52,34.2%,59.7%,71.0%,37,12,49,0,49,5.00,20,0,45.7%,5,5,0,102,177,92,126,41,269,7,0,1,0,30.8%,128,0.44,63.2%,31,20,7,2,250,35.1,13.00,-,26.3%,15.8%,10.5%,5.7%,22.4,30.8%,6,18,1
32,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),nyhzbo7wncd07zhc7pysjris,2025-09-27 16:30:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,true,false,false,MLL,MLL,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173,W 1-0,Jagoba Arrasate,25,149.00,36.7%,43.3%,19,22,2,33,43,33.8%,44.9%,55.5%,24,14,43,2,43,3.00,29,0,51.0%,5,6,0,104,185,128,149,60,313,8,1,0,0,39.4%,129,0.74,59.5%,40,15,2,3,223,33.4,30.00,-,38.9%,27.8%,11.1%,60.8%,24.6,39.4%,12,15,1
33,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),hxr2ojynmpps6ni1gbdsa1hw,2025-09-24 19:30:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188,L 0-1,Jagoba Arrasate,30,75.00,33.3%,38.9%,13,22,1,27,35,28.2%,43.8%,67.7%,28,10,37,1,37,5.00,21,0,54.9%,10,4,0,117,197,112,151,41,309,10,0,0,0,45.2%,140,0.70,55.8%,31,9,4,4,204,34.4,12.00,-,35.3%,11.8%,17.6%,8.3%,20.2,45.2%,7,12,1
34,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),gg5bnkuq3inqnecavarjo3dg,2025-09-21 14:15:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175,D 1-1,Jagoba Arrasate,31,149.00,27.3%,36.4%,20,18,2,47,45,37.4%,49.2%,52.6%,24,21,52,3,52,6.00,68,0,51.5%,12,5,0,121,203,112,141,53,315,10,1,0,0,38.4%,152,0.65,63.0%,23,15,2,5,290,35.0,13.00,-,18.2%,15.2%,15.2%,17.3%,26.4,38.4%,8,22,1
35,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),c0ed2ycw3cur2spz99c0r2ms,2025-09-15 19:00:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,c8llrezkm3b3op4afrou6b487,ESP,ESP,177,L 2-3,Jagoba Arrasate,11,186.00,20.0%,36.0%,21,16,3,63,71,69.8%,54.5%,44.1%,27,20,58,3,58,17.00,72,1,51.3%,6,3,0,39,91,112,100,64,203,6,2,0,0,33.1%,163,2.23,65.5%,35,27,3,9,350,37.4,15.00,-,15.8%,7.9%,13.2%,16.6%,33.9,33.1%,24,32,2
36,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),77rmbjidsouxav300f54behg,2025-08-30 19:30:00,50x1m4u58lffhq6v6ga1hbxmy,false,true,false,true,false,MLL,MLL,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186,L 1-2,Jagoba Arrasate,46,88.00,23.1%,26.9%,11,24,1,35,41,28.1%,57.1%,65.5%,36,7,47,3,47,4.00,32,0,41.9%,4,8,0,126,171,82,86,41,253,14,1,0,0,41.6%,159,0.72,51.9%,23,14,4,4,255,34.5,9.00,-,20.0%,6.7%,13.3%,14.3%,23.0,41.6%,9,16,1
37,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),62wqjuo2ykej3fzagx0scs9g,2025-08-23 15:00:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,false,true,MLL,MLL,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176,D 1-1,Jagoba Arrasate,9,157.00,24.0%,24.0%,15,25,3,49,71,59.8%,42.7%,50.3%,43,23,76,9,76,10.00,39,0,46.1%,1,4,0,41,95,141,107,88,236,6,1,0,0,31.2%,135,0.68,50.0%,11,18,3,4,320,34.8,13.00,-,9.1%,0.0%,9.1%,22.9%,33.5,31.2%,12,21,1
38,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2d4xobwd1t1rd2kxlcjmqcyc,2025-08-16 17:30:00,50x1m4u58lffhq6v6ga1hbxmy,true,false,false,true,false,MLL,MLL,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178,L 0-3,Jagoba Arrasate,43,60.00,40.0%,40.0%,4,23,2,16,18,16.5%,47.3%,70.2%,29,9,36,3,36,3.00,12,0,42.3%,2,10,0,119,165,80,93,33,245,9,0,0,0,46.7%,105,0.21,52.8%,16,2,1,0,138,32.1,9.00,-,16.7%,8.3%,41.7%,8.2%,21.3,46.7%,4,9,1
