Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery,Goal
22.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1myp00g7w796yt6ts8ojdkys4,2025-12-13 17:30:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 2-0,Hansi Flick,7.0,360.0,51.6%,54.8%,27.0,16.0,2.0,115.0,122,88.0%,66.5%,34.1%,28,28.0,89.0,8.0,89,15.0,156,0.0,63.4%,5.0,6.0,0.0,26.0,68.0,104.0,78.0,68.0,172,2.0,2.0,0.0,0.0,24.4%,179,2.41,51.3%,24.0,45.0,1.0,4.0,504.0,33.8,21.0,-,7.7%,11.5%,11.5%,69.7%,34.5,24.4%,24.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1gkqfp2d7qi9h6k34k3mo8zkk,2025-12-06 17:30:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,True,False,False,BAR,BAR,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,W 5-3,Hansi Flick,36.0,126.0,43.5%,47.8%,23.0,17.0,1.0,38.0,70,49.7%,68.1%,68.4%,45,12.0,64.0,6.0,64,7.0,37,0.0,61.7%,3.0,2.0,0.0,103.0,154.0,97.0,93.0,55.0,251,7.0,4.0,0.0,1.0,28.5%,164,2.83,65.5%,28.0,24.0,1.0,1.0,444.0,29.6,25.0,-,8.3%,12.5%,25.0%,79.8%,33.4,28.5%,16.0,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1v9qqviahmnia4ewmzd4aejv8,2025-12-02 20:00:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 3-1,Hansi Flick,21.0,196.0,32.3%,48.4%,19.0,16.0,5.0,65.0,52,59.9%,55.6%,52.6%,37,24.0,72.0,11.0,72,14.0,76,0.0,54.8%,7.0,5.0,0.0,68.0,126.0,136.0,127.0,67.0,262,4.0,2.0,0.0,1.0,27.7%,155,3.6,56.1%,28.0,23.0,2.0,1.0,334.0,32.8,31.0,-,14.3%,14.3%,3.6%,64.6%,26.9,27.7%,19.0,10,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1dk2hnl09qux7z4fqn1qxq238,2025-11-29 15:15:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,W 3-1,Hansi Flick,20.0,234.0,40.0%,57.1%,28.0,13.0,4.0,66.0,107,76.6%,60.6%,43.2%,26,21.0,63.0,6.0,63,12.0,97,0.0,56.2%,10.0,3.0,0.0,50.0,94.0,146.0,119.0,71.0,240,3.0,3.0,0.0,0.0,22.0%,153,2.24,60.0%,35.0,33.0,0.0,1.0,451.0,36.5,34.0,-,15.0%,12.5%,17.5%,74.8%,34.6,22.0%,18.0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1a7radhhole7vfnciarzauq6s,2025-11-22 15:15:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 4-0,Hansi Flick,23.0,180.0,40.0%,54.3%,23.0,16.0,6.0,55.0,90,66.2%,68.3%,56.0%,42,14.0,71.0,7.0,71,10.0,76,2.0,48.3%,7.0,6.0,0.0,56.0,111.0,112.0,98.0,69.0,223,8.0,3.0,1.0,0.0,24.1%,168,2.0,59.3%,29.0,21.0,0.0,0.0,503.0,32.7,24.0,-,13.6%,4.5%,13.6%,84.9%,31.2,24.1%,19.0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),16t0fdut4ky4b4es7i0trovtg,2025-11-09 20:00:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,True,False,False,BAR,BAR,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,W 4-2,Hansi Flick,6.0,311.0,36.1%,41.7%,14.0,16.0,7.0,46.0,67,72.2%,48.5%,39.2%,45,19.0,106.0,8.0,106,9.0,138,0.0,50.0%,2.0,7.0,0.0,59.0,109.0,129.0,105.0,74.0,238,2.0,3.0,0.0,1.0,21.3%,153,3.31,64.4%,19.0,27.0,0.0,0.0,380.0,33.2,27.0,-,3.4%,3.4%,10.3%,67.8%,33.4,21.3%,21.0,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),113wccwt50kebz0thqf0fxkpg,2025-11-02 16:30:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 3-1,Hansi Flick,18.0,135.0,39.5%,44.7%,11.0,21.0,7.0,34.0,67,47.8%,50.5%,56.0%,55,18.0,83.0,14.0,83,10.0,53,1.0,51.0%,11.0,8.0,0.0,79.0,136.0,145.0,128.0,74.0,281,6.0,2.0,1.0,0.0,32.4%,134,1.88,57.9%,26.0,31.0,2.0,1.0,292.0,36.0,19.0,-,23.8%,19.0%,9.5%,84.4%,24.7,32.4%,17.0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),ytxz0i1eppxxqupm27ktuln8,2025-10-26 15:15:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,False,True,False,BAR,BAR,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 1-2,Marcus Sorg,34.0,228.0,48.4%,51.6%,18.0,14.0,3.0,49.0,89,70.7%,65.8%,47.9%,25,15.0,59.0,4.0,59,13.0,122,1.0,44.2%,6.0,7.0,1.0,72.0,107.0,97.0,71.0,61.0,204,8.0,1.0,0.0,0.0,24.4%,156,1.14,50.9%,29.0,28.0,0.0,2.0,495.0,35.3,24.0,-,16.1%,0.0%,16.1%,15.0%,28.1,24.4%,15.0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),txn45zihl3cp2bv3lj5rmot0,2025-10-18 14:15:00,agh9ifb2mw3ivjusgedj7c3fe,True,False,True,False,False,BAR,BAR,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,W 2-1,Hansi Flick,22.0,318.0,39.3%,46.4%,17.0,17.0,9.0,75.0,105,79.5%,54.2%,37.5%,27,21.0,79.0,5.0,79,19.0,160,2.0,59.6%,5.0,3.0,2.0,59.0,86.0,131.0,59.0,99.0,217,6.0,2.0,0.0,0.0,26.0%,174,1.61,60.0%,29.0,27.0,2.0,3.0,509.0,36.2,25.0,-,11.4%,11.4%,8.6%,48.6%,38.6,26.0%,27.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),rbyhgw1kyp0ghg2qpvznvvv8,2025-10-05 14:15:00,agh9ifb2mw3ivjusgedj7c3fe,False,True,False,True,False,BAR,BAR,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,L 1-4,Hansi Flick,34.0,147.0,35.1%,51.4%,12.0,16.0,8.0,46.0,73,67.6%,55.8%,50.9%,28,14.0,60.0,5.0,60,13.0,66,1.0,47.4%,10.0,5.0,1.0,54.0,84.0,114.0,69.0,75.0,198,6.0,1.0,0.0,0.0,31.1%,133,2.25,61.4%,33.0,31.0,2.0,1.0,297.0,33.8,19.0,-,21.7%,8.7%,17.4%,7.3%,30.5,31.1%,17.0,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
