Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
21.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1rvgcgz2ftmamcay54gz2qtjo,2026-01-03 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,agh9ifb2mw3ivjusgedj7c3fe,BAR,BAR,178.0,L 0-2,José Manuel González Álvarez,27.0,89.0,29.0%,32.3%,10.0,25.0,0.0,24.0,33,27.7%,35.4%,59.0%,27,11.0,35.0,3.0,35,11.0,19,0.0,48.5%,5.0,6.0,0.0,95.0,172.0,136.0,138.0,75.0,308,9.0,0.0,0.0,0.0,41.4%,103,1.6,52.5%,24.0,10.0,1.0,2.0,173.0,35.2,20.0,-,12.5%,18.8%,18.8%,22.4%,23.2,41.4%,14.0,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1pmmfccm8cfhw6hua3w0gz28k,2025-12-22 20:00:00,c8llrezkm3b3op4afrou6b487,False,True,True,False,False,ESP,ESP,3czravw89omgc9o4s0w3l1bg5,ATH,ATH,174.0,W 2-1,José Manuel González Álvarez,28.0,92.0,40.0%,45.7%,18.0,21.0,6.0,19.0,29,27.7%,42.9%,63.1%,44,11.0,53.0,6.0,53,5.0,24,0.0,51.1%,14.0,8.0,0.0,113.0,210.0,139.0,172.0,63.0,348,15.0,2.0,0.0,0.0,44.6%,125,0.91,61.0%,32.0,8.0,0.0,1.0,138.0,31.4,13.0,-,20.0%,26.7%,26.7%,38.2%,16.4,44.6%,10.0,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1l3ezfcz5pfa7eixz6hnfmj9w,2025-12-13 20:00:00,c8llrezkm3b3op4afrou6b487,False,True,True,False,False,ESP,ESP,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,W 1-0,José Manuel González Álvarez,10.0,63.0,48.8%,53.5%,18.0,20.0,3.0,15.0,29,27.7%,54.8%,72.3%,23,9.0,29.0,3.0,29,4.0,23,0.0,50.3%,10.0,4.0,0.0,79.0,149.0,113.0,122.0,61.0,262,8.0,1.0,0.0,0.0,47.5%,149,0.57,57.7%,40.0,10.0,4.0,0.0,159.0,33.8,9.0,-,30.8%,15.4%,46.2%,58.3%,16.3,47.5%,6.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1g7ev92a4xzvmnte18e1h7thw,2025-12-07 17:30:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,W 1-0,José Manuel González Álvarez,18.0,113.0,20.0%,28.6%,9.0,16.0,5.0,19.0,32,39.2%,35.6%,57.7%,28,10.0,41.0,6.0,41,5.0,22,0.0,60.0%,6.0,3.0,0.0,75.0,133.0,125.0,94.0,89.0,258,4.0,1.0,0.0,0.0,45.3%,106,1.33,54.2%,37.0,14.0,2.0,3.0,149.0,36.4,8.0,-,16.7%,5.6%,22.2%,62.5%,20.6,45.3%,9.0,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1fgucgxqx7rp34edgxippj6s4,2025-11-30 17:30:00,c8llrezkm3b3op4afrou6b487,False,True,True,False,False,ESP,ESP,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,W 1-0,José Manuel González Álvarez,11.0,98.0,28.6%,28.6%,12.0,17.0,4.0,27.0,35,34.8%,43.5%,65.4%,50,10.0,69.0,11.0,69,4.0,23,1.0,49.3%,8.0,3.0,0.0,66.0,148.0,159.0,154.0,87.0,307,6.0,1.0,0.0,0.0,35.9%,127,0.38,55.6%,24.0,15.0,2.0,1.0,228.0,32.4,18.0,-,18.8%,0.0%,31.3%,22.0%,26.4,35.9%,9.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),191yv3mlrk964ybeg2ilya9sk,2025-11-24 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,W 2-1,José Manuel González Álvarez,41.0,119.0,21.1%,23.7%,18.0,10.0,2.0,28.0,34,40.3%,29.2%,49.4%,29,12.0,45.0,4.0,45,5.0,28,1.0,54.5%,5.0,9.0,1.0,97.0,155.0,136.0,112.0,82.0,291,10.0,2.0,0.0,0.0,45.0%,109,1.09,43.3%,33.0,15.0,1.0,0.0,157.0,35.5,14.0,-,15.4%,38.5%,23.1%,54.4%,16.0,45.0%,8.0,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),15ojns8pjndvlncxp05js2cyc,2025-11-08 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 0-2,José Manuel González Álvarez,16.0,215.0,35.4%,43.8%,18.0,14.0,4.0,83.0,92,66.7%,46.5%,46.8%,22,19.0,57.0,4.0,57,12.0,54,0.0,45.9%,11.0,6.0,0.0,39.0,86.0,179.0,119.0,107.0,265,6.0,0.0,0.0,0.0,33.4%,188,0.5,43.2%,20.0,25.0,9.0,4.0,445.0,34.8,20.0,-,17.6%,8.8%,11.8%,23.9%,29.1,33.4%,14.0,40,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),144g7b7ez101gt3yczm0yblzo,2025-11-02 14:15:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,L 1-2,José Manuel González Álvarez,19.0,188.0,51.5%,60.6%,17.0,22.0,9.0,63.0,63,50.7%,41.5%,43.0%,30,25.0,55.0,3.0,55,13.0,62,0.0,63.3%,10.0,4.0,0.0,93.0,195.0,158.0,173.0,87.0,353,7.0,1.0,0.0,0.0,35.0%,131,1.06,50.0%,37.0,24.0,7.0,4.0,280.0,33.5,20.0,-,15.0%,30.0%,20.0%,4.4%,23.1,35.0%,18.0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),zkqu9lm76sa6ypjcluvnr578,2025-10-25 14:15:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,W 1-0,José Manuel González Álvarez,20.0,111.0,18.9%,29.7%,22.0,14.0,6.0,29.0,43,32.7%,31.7%,54.7%,27,14.0,39.0,4.0,39,12.0,30,0.0,50.8%,10.0,8.0,0.0,92.0,161.0,150.0,133.0,86.0,311,5.0,1.0,0.0,0.0,45.1%,120,1.93,60.0%,23.0,15.0,1.0,3.0,183.0,31.5,10.0,-,22.7%,13.6%,22.7%,55.2%,20.7,45.1%,16.0,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),w7ym83i7x7vql3mkid0zn3tg,2025-10-17 19:00:00,c8llrezkm3b3op4afrou6b487,False,True,True,False,False,ESP,ESP,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,W 2-0,José Manuel González Álvarez,27.0,172.0,39.4%,42.4%,20.0,16.0,6.0,50.0,54,47.8%,33.3%,46.9%,25,11.0,51.0,5.0,51,13.0,57,0.0,51.7%,5.0,8.0,0.0,75.0,128.0,161.0,120.0,94.0,289,8.0,2.0,0.0,0.0,35.2%,113,3.71,52.6%,26.0,22.0,4.0,3.0,228.0,33.7,15.0,-,6.9%,13.8%,24.1%,38.8%,24.1,35.2%,19.0,33,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),rp9h3yrxylg9bwywpccje8lw,2025-10-05 16:30:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,ah8dala7suqqkj04n2l8xz4zd,BET,BET,185.0,L 1-2,José Manuel González Álvarez,23.0,181.0,30.3%,33.3%,25.0,27.0,2.0,55.0,68,49.7%,51.1%,52.7%,40,18.0,67.0,8.0,67,10.0,53,0.0,51.0%,8.0,5.0,0.0,78.0,149.0,133.0,119.0,85.0,282,6.0,1.0,0.0,0.0,39.2%,176,2.28,48.9%,25.0,27.0,5.0,4.0,312.0,32.5,19.0,-,23.8%,11.9%,21.4%,36.0%,26.3,39.2%,14.0,39,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),p2nr5z25p9svx0ssxbjiprmc,2025-09-26 19:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,False,True,ESP,ESP,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,D 0-0,José Manuel González Álvarez,27.0,143.0,30.8%,46.2%,16.0,9.0,6.0,37.0,42,39.6%,41.5%,56.2%,29,14.0,46.0,2.0,46,15.0,49,0.0,59.2%,3.0,4.0,0.0,103.0,172.0,171.0,139.0,101.0,343,4.0,0.0,0.0,0.0,31.7%,107,1.08,54.5%,28.0,15.0,0.0,5.0,230.0,32.7,8.0,-,28.0%,12.0%,28.0%,20.7%,20.8,31.7%,20.0,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),j23bvmu4uuofecr7aaeurtw4,2025-09-23 17:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,False,True,ESP,ESP,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,D 2-2,José Manuel González Álvarez,13.0,203.0,22.2%,33.3%,21.0,17.0,5.0,62.0,50,63.2%,50.6%,49.3%,33,21.0,60.0,9.0,60,13.0,47,0.0,62.5%,3.0,7.0,0.0,55.0,110.0,174.0,125.0,104.0,284,3.0,2.0,0.0,0.0,34.8%,153,2.57,48.1%,24.0,22.0,5.0,4.0,259.0,34.3,14.0,-,29.0%,19.4%,22.6%,13.1%,29.2,34.8%,21.0,36,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),h6rpuztodqc4wokrpyck2zv8,2025-09-20 14:15:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,3kq9cckrnlogidldtdie2fkbl,RMA,RMA,186.0,L 0-2,José Manuel González Álvarez,37.0,103.0,29.6%,33.3%,15.0,25.0,4.0,16.0,54,21.1%,34.2%,62.7%,31,9.0,36.0,2.0,36,8.0,20,0.0,48.5%,3.0,2.0,0.0,114.0,200.0,145.0,146.0,85.0,345,7.0,0.0,0.0,0.0,36.9%,101,0.96,49.2%,25.0,24.0,1.0,4.0,214.0,34.8,21.0,-,26.1%,8.7%,17.4%,7.6%,18.7,36.9%,8.0,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),c0ed2ycw3cur2spz99c0r2ms,2025-09-15 19:00:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 3-2,José Manuel González Álvarez,26.0,76.0,28.6%,38.1%,10.0,17.0,1.0,23.0,38,30.2%,45.5%,61.1%,28,8.0,45.0,2.0,45,4.0,12,0.0,51.1%,1.0,7.0,0.0,95.0,185.0,101.0,147.0,44.0,286,7.0,3.0,0.0,0.0,38.0%,115,2.39,47.0%,30.0,15.0,1.0,2.0,208.0,31.1,17.0,-,42.9%,0.0%,14.3%,56.9%,21.3,38.0%,9.0,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),8o8bord6whrdh4yaej7v766s,2025-08-31 17:30:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,2l0ldgiwsgb8d6y3z0sfgjzyj,OSA,OSA,450.0,W 1-0,José Manuel González Álvarez,24.0,130.0,27.3%,39.4%,20.0,18.0,5.0,46.0,43,47.0%,44.5%,56.4%,26,12.0,48.0,4.0,48,9.0,42,1.0,58.7%,9.0,2.0,0.0,81.0,149.0,167.0,155.0,80.0,316,8.0,1.0,0.0,0.0,36.3%,148,1.21,51.5%,41.0,17.0,3.0,2.0,271.0,33.2,6.0,-,30.8%,7.7%,23.1%,64.8%,22.0,36.3%,10.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),6g1tozuo8an9qds56u85juhg,2025-08-24 17:30:00,c8llrezkm3b3op4afrou6b487,False,True,False,False,True,ESP,ESP,63f5h8t5e9qm1fqmvfkb23ghh,RSO,RSO,188.0,D 2-2,José Manuel González Álvarez,26.0,108.0,31.0%,31.0%,16.0,16.0,2.0,26.0,40,33.6%,41.9%,59.2%,25,10.0,38.0,4.0,38,9.0,31,1.0,52.1%,8.0,5.0,0.0,76.0,155.0,144.0,158.0,65.0,299,10.0,2.0,0.0,0.0,45.6%,139,1.81,56.7%,31.0,17.0,1.0,1.0,226.0,33.5,21.0,-,15.8%,26.3%,10.5%,43.2%,18.2,45.6%,14.0,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1wwdsnnj2m9ewz1d1mgt7y8k,2025-08-17 19:30:00,c8llrezkm3b3op4afrou6b487,True,False,True,False,False,ESP,ESP,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 2-1,José Manuel González Álvarez,25.0,121.0,19.2%,23.1%,11.0,19.0,3.0,32.0,51,37.7%,42.5%,57.2%,28,11.0,43.0,6.0,43,5.0,34,1.0,52.8%,7.0,10.0,0.0,103.0,185.0,152.0,148.0,86.0,337,8.0,2.0,0.0,0.0,34.0%,134,1.26,55.4%,21.0,16.0,2.0,9.0,294.0,34.7,15.0,-,11.5%,15.4%,26.9%,28.7%,27.9,34.0%,9.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2026-08-16_ESP-LEV,2026-08-16 00:00:00,,True,False,,,,ESP,,,,LEV,,W 3-0,,,,21.1%,21.1%,,,,,61,,,,59,,,,84,,45,,,,,,,,,,,229,,,,,28.0%,128,1.47,,,,,,,,,,,,,,,28.0%,,11,2,Total,7.0,3.45,54.0%,1.0,58.0,59.0,19.0,64.0,25.0,1.0,5.0,38.0,37.0,5.0,30.0,0.092,14.0,25.0,9.0,1.0,26.9%,29.1%,14.0,385.0,9.0,8.0,90.0,19.0,14.0,16.0,0.0,0.0,48.0,33.0,0.0,33.0,-,638.0,457.0,84.5%,85.9%,11.0,2.0,0.75,3.0,12.0,16.0,6.0,37.5%,63.6%,44.4%,52.6%,39.0
,,,,,,,2026-08-22_ESP-RMA,2026-08-22 00:00:00,,True,False,,,,ESP,,,,RMA,,L 1-2,,,,29.2%,45.8%,,,,,51,,,,33,,,,53,,49,,,,,,,,,,,377,,,,,34.7%,113,1.05,,,,,,,,,,,,,,,34.7%,,12,2,Total,6.0,3.09,45.0%,1.0,58.0,50.0,20.0,64.0,20.0,1.0,2.0,30.0,27.0,6.0,32.0,0.132,13.0,25.0,6.0,1.0,21.8%,26.1%,14.0,273.0,3.0,3.0,103.0,17.0,14.0,0.0,0.0,16.0,0.0,11.0,22.0,-11.0,-,509.0,326.0,83.7%,87.5%,4.0,1.0,0.52,1.0,7.0,8.0,3.0,37.5%,36.1%,36.9%,35.3%,34.0
,,,,,,,2026-08-29_RSO-ESP,2026-08-29 00:00:00,,False,True,,,,ESP,,,,RSO,,L 1-2,,,,39.3%,53.6%,,,,,47,,,,0,,,,0,,28,,,,,,,,,,,0,,,,,36.5%,147,0.75,,,,,,,,,,,,,,,36.5%,,11,1,Total,7.0,3.64,-,1.0,59.0,78.0,15.0,46.0,0.0,1.0,0.0,0.0,39.0,0.0,40.0,0.068,11.0,31.0,11.0,1.0,22.3%,25.6%,22.0,315.0,4.0,7.0,112.0,34.0,22.0,0.0,0.0,16.0,0.0,11.0,22.0,-11.0,-,617.0,403.0,78.2%,80.4%,5.0,1.0,1.07,1.0,9.0,11.0,3.0,27.3%,45.8%,49.1%,44.1%,41.0
