Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
11.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2taxjp7kgsyqb2x6zjjbiwys4,2026-03-15 13:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,L 1-2,José Manuel González Álvarez,36.0,95.0,23.3%,30.0%,11.0,16.0,3.0,26.0,27,29.8%,36.0%,61.3%,20,4.0,32.0,3.0,32,5.0,21,0.0,56.2%,5.0,4.0,0.0,100.0,185.0,134.0,153.0,66.0,319,8.0,1.0,0.0,0.0,42.8%,104,0.91,60.4%,27.0,7.0,0.0,1.0,151.0,33.6,10.0,-,23.5%,23.5%,23.5%,25.4%,18.6,42.8%,10.0,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2rdu4yg44ic1xh5ymhhx1yolw,2026-03-09 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,False,True,ESP,ESP,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,D 1-1,José Manuel González Álvarez,13.0,223.0,42.9%,48.6%,29.0,15.0,3.0,77.0,61,72.0%,46.0%,42.7%,36,17.0,74.0,2.0,74,18.0,51,0.0,66.2%,9.0,6.0,0.0,45.0,99.0,182.0,125.0,111.0,281,3.0,1.0,0.0,0.0,32.7%,160,1.83,51.4%,41.0,21.0,3.0,4.0,387.0,30.4,25.0,-,15.2%,13.0%,23.9%,34.5%,26.9,32.7%,28.0,35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2no6er6enaks2abnft8fknndg,2026-03-01 13:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,False,True,ESP,ESP,4yg9ttzw0m51048doksv8uq5r,ELC,ELC,954.0,D 2-2,José Manuel González Álvarez,31.0,88.0,21.9%,21.9%,15.0,12.0,1.0,29.0,27,28.5%,31.0%,57.8%,16,13.0,29.0,2.0,29,6.0,29,0.0,56.4%,4.0,5.0,0.0,102.0,198.0,122.0,161.0,57.0,320,10.0,0.0,2.0,0.0,43.8%,109,0.77,42.6%,21.0,14.0,0.0,3.0,117.0,34.4,6.0,-,21.1%,26.3%,31.6%,34.3%,16.5,43.8%,9.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2jwf7cpzm72lrajndbtk03das,2026-02-21 20:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,L 2-4,José Manuel González Álvarez,33.0,108.0,10.7%,17.9%,15.0,24.0,1.0,37.0,39,34.8%,43.1%,59.6%,37,13.0,54.0,4.0,54,3.0,33,0.0,61.5%,13.0,8.0,0.0,131.0,236.0,168.0,196.0,77.0,404,8.0,1.0,1.0,0.0,37.1%,154,0.75,54.0%,23.0,14.0,3.0,4.0,167.0,33.0,13.0,-,15.0%,5.0%,15.0%,16.2%,21.6,37.1%,8.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2fc1kvignx7oybca1wqs2gsgk,2026-02-14 13:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,False,True,ESP,ESP,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,D 2-2,José Manuel González Álvarez,42.0,115.0,32.4%,41.2%,17.0,15.0,5.0,46.0,38,39.6%,46.1%,54.9%,40,19.0,70.0,10.0,70,7.0,40,1.0,53.3%,5.0,8.0,0.0,90.0,178.0,155.0,144.0,99.0,333,8.0,2.0,0.0,0.0,36.6%,144,0.77,60.5%,22.0,16.0,3.0,9.0,219.0,33.3,13.0,-,33.3%,4.2%,29.2%,27.6%,24.2,36.6%,9.0,24,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2au8colu3pbwws92o9q03i9zo,2026-02-09 20:00:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,L 1-4,José Manuel González Álvarez,22.0,136.0,17.9%,32.1%,9.0,12.0,3.0,48.0,48,58.2%,46.8%,55.1%,23,15.0,41.0,0.0,41,6.0,60,0.0,56.2%,7.0,3.0,0.0,59.0,100.0,156.0,104.0,93.0,256,7.0,1.0,0.0,0.0,30.8%,135,0.51,59.6%,18.0,20.0,4.0,2.0,338.0,33.1,17.0,-,22.2%,14.8%,22.2%,9.7%,34.9,30.8%,9.0,26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),29q144duutijtrpdfzof1zims,2026-01-30 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,L 1-2,José Manuel González Álvarez,16.0,133.0,43.2%,54.5%,14.0,20.0,5.0,27.0,32,47.1%,54.2%,59.3%,36,11.0,48.0,3.0,48,8.0,34,0.0,60.4%,6.0,7.0,0.0,55.0,158.0,158.0,177.0,84.0,316,8.0,1.0,0.0,0.0,40.8%,165,0.67,49.4%,42.0,13.0,6.0,5.0,208.0,31.6,18.0,-,9.5%,14.3%,28.6%,29.0%,20.0,40.8%,10.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),22x7y5lc2ynqrwdkh5kl64a38,2026-01-24 15:15:00,c8llrezkm3b3op4afrou6b487,False,True,False,True,False,ESP,ESP,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,L 2-3,José Manuel González Álvarez,18.0,152.0,40.0%,57.1%,22.0,19.0,5.0,60.0,64,58.5%,48.8%,49.6%,26,26.0,51.0,4.0,51,13.0,44,0.0,50.9%,8.0,11.0,0.0,55.0,131.0,166.0,156.0,86.0,297,5.0,2.0,0.0,0.0,36.2%,145,1.41,54.2%,29.0,15.0,7.0,6.0,310.0,35.3,18.0,-,13.3%,16.7%,30.0%,13.3%,22.7,36.2%,16.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),226m1xys6v816jac3sck3d3is,2026-01-16 20:00:00,c8llrezkm3b3op4afrou6b487,True,False,False,True,False,ESP,ESP,7h7eg7q7dbwvzww78h9d5eh0h,GIR,GIR,2893.0,L 0-2,José Manuel González Álvarez,20.0,153.0,22.9%,37.1%,19.0,21.0,4.0,33.0,70,54.2%,46.0%,50.8%,33,14.0,49.0,4.0,49,10.0,46,0.0,44.7%,2.0,4.0,0.0,51.0,94.0,107.0,74.0,76.0,201,4.0,0.0,0.0,0.0,35.1%,138,1.07,53.0%,30.0,27.0,4.0,4.0,270.0,30.0,20.0,-,7.1%,17.9%,14.3%,20.0%,22.2,35.1%,14.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1wrc3h54fm3azopbuu3iq7b4k,2026-01-11 15:15:00,c8llrezkm3b3op4afrou6b487,False,True,False,False,True,ESP,ESP,4grc9qgcvusllap8h5j6gc5h5,LEV,LEV,855.0,D 1-1,José Manuel González Álvarez,18.0,160.0,34.5%,41.4%,27.0,12.0,4.0,53.0,58,58.4%,44.5%,51.1%,30,13.0,46.0,1.0,46,14.0,46,0.0,54.8%,4.0,9.0,1.0,51.0,113.0,156.0,131.0,87.0,269,9.0,0.0,1.0,0.0,32.3%,139,1.36,61.1%,37.0,18.0,3.0,9.0,254.0,31.2,16.0,-,19.4%,6.5%,35.5%,19.5%,23.1,32.3%,19.0,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
