Rank,leagueId,leagueName,seasonId,seasonName,seasonNameLong,leagueNameLong,gameId,Date,teamId,Home,Away,Win,Loss,Draw,Team,abbrevName,opponentId,opponentToken,opponent,opponentTeamImageId,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc,Section,ToquesCentroÁrea,Recuperaciones Campo Rival/90,PsFwdHighPrsrCmp%,PsCmpSoP,PérdidasCampoRival,PerdidasCampoPropio,PasesCmpCampoRival,Pases en Ultimo Tercio,LBPOppHalf,Juego dentro del área,IntoOutRuns,InBehindRuns,HighTurnovers,HighPrsrBallWon,GrndDlWn,ExpG/Shot,Disposs,ClrncD3,CambiosOrientación,BgChncCrtd,%PassRight,%PassLeft,TakeOn,PsRec,KeyPass,Int,Duels,Aerials,1v1,W,D,L,P,GF,GA,GD,Poss%,Touches,PsAtt,Pass%,Ps%InA3rd,Chance,Ast,xA,Goal,ShotExcBlk,Shot,SOG,OnTarget%,Tackle%,Duel%,Aerial%,Recovery
11.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2vji7tw0khxdvfeo52geb0jkk,2026-03-15 17:30:00,ah8dala7suqqkj04n2l8xz4zd,True,False,False,False,True,BET,BET,6f27yvbqcngegwsg2ozxxdj4,CEL,CEL,176.0,D 1-1,Manuel Pellegrini,9.0,223.0,37.5%,46.9%,23.0,16.0,4.0,60.0,55,60.4%,44.3%,45.8%,46,32.0,105.0,19.0,105,12.0,76,0.0,48.0%,4.0,4.0,0.0,61.0,115.0,140.0,104.0,90.0,255,4.0,0.0,0.0,1.0,28.2%,144,1.47,53.8%,14.0,16.0,3.0,5.0,396.0,33.1,5.0,-,18.9%,5.4%,16.2%,18.7%,31.1,28.2%,19.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2s67ol8ci5kpjktfuw80c58gk,2026-03-08 16:15:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,True,False,BET,BET,1n1j0wsl763lq7ee1k0c11c02,GET,GET,1450.0,L 0-2,Manuel Pellegrini,14.0,159.0,45.5%,51.5%,17.0,17.0,5.0,58.0,88,68.1%,71.7%,53.1%,18,24.0,53.0,5.0,53,9.0,53,0.0,61.9%,6.0,2.0,0.0,65.0,116.0,79.0,89.0,41.0,195,5.0,0.0,0.0,0.0,27.6%,152,1.38,66.2%,48.0,23.0,3.0,3.0,417.0,32.7,13.0,-,12.5%,3.1%,3.1%,13.6%,28.0,27.6%,14.0,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2napzcxsfy1ju0ixutyi6z8yc,2026-03-01 17:30:00,ah8dala7suqqkj04n2l8xz4zd,True,False,False,False,True,BET,BET,10eyb18v5puw4ez03ocaug09m,SEV,SEV,179.0,D 2-2,Manuel Pellegrini,20.0,92.0,25.0%,37.5%,18.0,20.0,6.0,36.0,69,37.9%,48.3%,64.7%,30,11.0,44.0,3.0,44,6.0,26,0.0,51.4%,4.0,12.0,0.0,75.0,165.0,117.0,161.0,46.0,282,6.0,2.0,0.0,0.0,32.1%,135,1.56,54.4%,32.0,18.0,1.0,2.0,343.0,27.6,13.0,-,17.4%,21.7%,17.4%,69.6%,24.8,32.1%,9.0,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2kn874mea28rs8m0s333xmp78,2026-02-21 15:15:00,ah8dala7suqqkj04n2l8xz4zd,True,False,False,False,True,BET,BET,3budh3j9xivsid3ptm8ptpy4k,RAY,RAY,184.0,D 1-1,Manuel Pellegrini,21.0,166.0,13.0%,21.7%,11.0,22.0,7.0,44.0,53,48.2%,45.9%,54.3%,27,11.0,54.0,10.0,54,7.0,46,0.0,58.5%,10.0,7.0,0.0,86.0,177.0,139.0,163.0,67.0,316,9.0,1.0,0.0,0.0,32.8%,135,1.98,46.5%,28.0,16.0,1.0,2.0,320.0,34.6,12.0,-,14.3%,9.5%,9.5%,35.4%,30.3,32.8%,14.0,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2eyrfe9uog3f5s72qy88imxp0,2026-02-15 20:00:00,ah8dala7suqqkj04n2l8xz4zd,False,True,True,False,False,BET,BET,50x1m4u58lffhq6v6ga1hbxmy,MLL,MLL,181.0,W 2-1,Manuel Pellegrini,33.0,88.0,20.0%,28.0%,11.0,20.0,1.0,30.0,38,25.7%,45.2%,65.4%,13,5.0,17.0,4.0,17,12.0,25,0.0,53.2%,6.0,5.0,0.0,126.0,225.0,91.0,153.0,37.0,316,15.0,1.0,0.0,1.0,33.6%,115,2.04,47.0%,31.0,14.0,2.0,1.0,233.0,33.0,6.0,-,14.3%,14.3%,19.0%,56.6%,20.0,33.6%,17.0,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),2d48hhckok4yi8bluy55trf2s,2026-02-08 17:30:00,ah8dala7suqqkj04n2l8xz4zd,False,True,True,False,False,BET,BET,4ku8o6uf87yd8iecdalipo6wd,ATM,ATM,175.0,W 1-0,Manuel Pellegrini,28.0,81.0,0.0%,3.4%,7.0,22.0,1.0,20.0,36,23.2%,48.7%,67.8%,20,7.0,30.0,2.0,30,5.0,30,0.0,45.6%,7.0,7.0,0.0,119.0,200.0,81.0,127.0,35.0,281,13.0,0.0,0.0,1.0,36.1%,134,0.7,56.0%,24.0,8.0,0.0,2.0,282.0,33.1,13.0,-,30.0%,0.0%,10.0%,48.9%,22.5,36.1%,8.0,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),28lvz9j35a3we5r2jy9lff7dg,2026-02-01 15:15:00,ah8dala7suqqkj04n2l8xz4zd,True,False,True,False,False,BET,BET,ba5e91hjacvma2sjvixn00pjo,VAL,VAL,191.0,W 2-1,Manuel Pellegrini,24.0,193.0,37.1%,45.7%,19.0,15.0,4.0,46.0,63,63.4%,44.4%,46.3%,20,13.0,44.0,4.0,44,11.0,61,1.0,52.0%,5.0,4.0,0.0,65.0,117.0,141.0,120.0,73.0,258,8.0,2.0,0.0,0.0,31.1%,146,1.87,50.0%,35.0,27.0,1.0,2.0,357.0,34.4,24.0,-,24.2%,6.1%,24.2%,37.0%,25.0,31.1%,14.0,9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),24ggs30od6yf2dz3uyz8zjlec,2026-01-25 20:00:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,True,False,BET,BET,4dtdjgnpdq9uw4sdutti0vaar,ALA,ALA,173.0,L 1-2,Manuel Pellegrini,19.0,168.0,23.5%,32.4%,21.0,20.0,9.0,44.0,83,54.8%,54.8%,53.9%,30,17.0,55.0,6.0,55,11.0,45,0.0,57.9%,6.0,6.0,0.0,84.0,156.0,150.0,154.0,68.0,306,4.0,0.0,1.0,0.0,29.9%,135,1.27,56.8%,45.0,17.0,3.0,3.0,355.0,33.5,29.0,-,26.5%,8.8%,11.8%,6.9%,22.4,29.9%,18.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),212c0txlhb4ljff92d2cu5edw,2026-01-17 20:00:00,ah8dala7suqqkj04n2l8xz4zd,True,False,True,False,False,BET,BET,74mcjsm72vr3l9pw2i4qfjchj,VIL,VIL,449.0,W 2-0,Manuel Pellegrini,13.0,185.0,53.7%,63.4%,24.0,16.0,8.0,57.0,68,69.6%,50.7%,47.8%,30,8.0,57.0,4.0,57,8.0,55,1.0,55.4%,4.0,2.0,0.0,46.0,91.0,131.0,107.0,69.0,222,6.0,2.0,0.0,0.0,31.1%,169,1.07,58.2%,24.0,23.0,1.0,1.0,406.0,35.7,17.0,-,14.8%,18.5%,18.5%,60.7%,24.7,31.1%,15.0,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,34pl8szyvrbwcmfkuocjm3r6t,Primera División,80zg2v1cuqcfhphn56u4qpyqc,2025/2026,Primera División 2025/2026 (Spain),Primera División (Spain),1vn4i7o4gvzy4wej9uoz5qz9w,2026-01-10 13:00:00,ah8dala7suqqkj04n2l8xz4zd,False,True,False,False,True,BET,BET,clo928vcczjp0mczavs5o7p5k,OVI,OVI,187.0,D 1-1,Manuel Pellegrini,18.0,153.0,31.3%,34.4%,23.0,22.0,1.0,49.0,69,53.3%,60.5%,62.1%,36,12.0,55.0,6.0,55,11.0,46,0.0,51.4%,6.0,6.0,0.0,76.0,140.0,130.0,120.0,74.0,270,7.0,1.0,0.0,0.0,29.4%,166,2.24,52.9%,28.0,20.0,3.0,1.0,434.0,34.4,27.0,-,9.4%,15.6%,18.8%,22.2%,23.5,29.4%,15.0,13,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
