Team,Section,,Date   arrow_drop_down,opponent,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
Osasuna,Total,,-,27,147.50,18.5%,24.1%,37,31,6,84,105,49.9%,44.9%,55.0%,76,29,113,20,113,7.50,75,0,48.3%,11,5,1,143,240,291,226,162,531,11,2,0,0,33.0%,283,3.30,55.1%,52,32,4,10,642,33.1,18.50,-,10.8%,16.2%,18.9%,36.9%,26.8,33.0%,25,40,6
Osasuna,Seasons,,Luis Miguel Ramis,27,147.50,18.5%,24.1%,37,31,6,84,105,49.9%,44.9%,55.0%,76,29,113,20,113,7.50,75,0,48.3%,11,5,1,143,240,291,226,162,531,11,2,0,0,33.0%,283,3.30,55.1%,52,32,4,10,642,33.1,18.50,-,10.8%,16.2%,18.9%,36.9%,26.8,33.0%,25,40,6
Osasuna,Results,,Luis Miguel Ramis,12,152.00,18.5%,25.9%,24,24,4,54,72,51.6%,45.5%,54.0%,46,17,74,10,74,8.00,52,0,47.8%,7,4,1,75,126,161,128,84,287,1,2,0,0,28.5%,147,2.60,50.9%,26,19,3,5,421,32.7,20.00,-,4.8%,9.5%,19.0%,43.2%,28.6,28.5%,13,17,4
Osasuna,Results,,Luis Miguel Ramis,15,143.00,18.5%,22.2%,13,7,2,30,33,47.7%,44.2%,56.3%,30,12,39,10,39,7.00,23,0,48.9%,4,1,0,68,114,130,98,78,244,10,0,0,0,39.7%,136,0.70,59.3%,26,13,1,5,221,33.6,17.00,-,18.8%,25.0%,18.8%,29.9%,24.7,39.7%,12,23,2
