Team,Section,,Date   arrow_drop_down,opponent,Result,Manager,TouchOpBox,Toques Tercio Rival P90,Recuperaciones entre 5 segundos %,Recuperaciones entre 10 segundos %,RcvryM3,RcvryD3,RcvryA3,ProgPass,ProgCarry,Poss% Campo Rival,Poss% Campo Defensivo,Poss% Campo Def (Equipo),LBPOwnHalf,LBPIntoA3,LBP Mid Line,LBP Def Line,LBP,KeyPassPer90,juego interior,HighTOEndGoal,HighPrsrPerOppTchD3,HighPrsrBWOppHfLft,HighPrsrBWOppHfRght,HighPrsrBWToShot10s,HighPrsrAppD3,HighPrsrAppOwnHalf,HighPrsrAppOppHalf,HighPrsrAppM3,HighPrsrAppA3,HighPrsrApp,GoalKick,GolCarrilCentral,GolBanIZQ,GolBanDER,FwdPass%,FwdPass,ExpG,Duelos ganados ctl,Duelos Def,ConduccProg,centros 3_4 izq,centros 3_4 der,CarryPass,AvgPossWidth,1v1/90,%TeamPropHighPrsr,% Attack through Left Flank,% Attack through Middle,% Attack through Right Flank,AvgWP,AvgPossTime,%PassFwd,ShtIncBl,Crosses,BgChnc
Racing de Santander,Total,,-,90,146.00,33.0%,37.6%,46,63,11,140,146,41.7%,50.0%,57.2%,125,56,226,52,226,7.33,155,3,55.3%,22,17,0,337,539,409,379,232,948,24,5,0,0,39.9%,489,4.90,56.7%,100,42,0,1,821,36.6,19.00,-,39.2%,12.2%,25.7%,48.4%,21.7,39.9%,36,33,8
Racing de Santander,Seasons,,José Alberto López Menéndez,90,146.00,33.0%,37.6%,46,63,11,140,146,41.7%,50.0%,57.2%,125,56,226,52,226,7.33,155,3,55.3%,22,17,0,337,539,409,379,232,948,24,5,0,0,39.9%,489,4.90,56.7%,100,42,0,1,821,36.6,19.00,-,39.2%,12.2%,25.7%,48.4%,21.7,39.9%,36,33,8
Racing de Santander,Results,,José Alberto López Menéndez,27,125.00,30.0%,36.7%,16,19,4,39,25,33.7%,46.2%,62.8%,41,20,66,19,66,10.00,47,1,55.5%,5,3,0,127,195,135,132,71,330,7,3,0,0,43.2%,164,1.72,53.8%,36,11,0,0,285,38.7,13.00,-,25.0%,18.8%,18.8%,84.3%,19.4,43.2%,13,7,4
Racing de Santander,Results,,José Alberto López Menéndez,11,129.00,40.9%,45.5%,19,15,2,45,73,55.4%,58.3%,58.3%,41,15,73,16,73,3.00,52,0,53.0%,6,9,0,70,138,139,131,76,277,10,0,0,0,36.7%,172,1.31,62.1%,38,13,0,1,327,32.4,17.00,-,28.0%,12.0%,32.0%,20.6%,22.4,36.7%,6,14,2
Racing de Santander,Results,,José Alberto López Menéndez,52,184.00,25.7%,28.6%,11,29,5,56,48,38.5%,45.4%,50.2%,43,21,87,17,87,9.00,56,2,56.5%,11,5,0,140,206,135,116,85,341,7,2,0,0,40.6%,153,1.87,54.8%,26,18,0,0,209,38.9,27.00,-,54.5%,9.1%,24.2%,39.0%,23.3,40.6%,17,12,2
